reviewerID	user_id
A012468118FTQAINEI0OQ	1
A0182108CPDLPRCXQUZQ	2
A026961431MGW0616BRS3	3
A034597326Z83X79S50FI	4
A04295422T2ZG087R17FX	5
A060131923OZAPX4NDRM8	6
A068510418E9CCS26O5GP	7
A0815414IQ081GR6BB0I	8
A09027871HUIYHTFHPJX6	9
A09557243VFA5RMUZO6M1	10
A1002UBC6V258U	11
A100BOT6XWHS5P	12
A100L918633LUO	13
A100UD67AHFODS	14
A100UU9WHZIJ45	15
A10170TS3O4C9G	16
A101C99CG8EFUH	17
A101K1Y5BQJBFZ	18
A102BB2V3UFSH2	19
A102D49JO9BOZY	20
A102DV5B0MSC68	21
A102QPG7QM1J40	22
A10332THSGIOC1	23
A103PIRYKWQKR7	24
A1040IWUDHDH68	25
A104EJFDIR2C7R	26
A104QGECCAFCI9	27
A104SG9QZ92UAH	28
A1051DBTLWP5A2	29
A10566TEP2SO6I	30
A105H7LA4UCUKN	31
A105LFG3MT4N23	32
A105ME60VV2K2W	33
A105S56ODHGJEK	34
A106UZ0MA2S2FO	35
A107H3XGCV6Y4Q	36
A1081CI06OVJFP	37
A1085B05L8F56S	38
A108CA8X6ZYE9W	39
A108FVW1AQ73T2	40
A108UJC8MQ0REU	41
A109EBP40CP3O4	42
A109EMOP6GPUKS	43
A10A3X3DM3DSWT	44
A10A4M8O47EWXS	45
A10AKE9TAADHVV	46
A10ASLX7DTTB6Z	47
A10BAU1962PTFU	48
A10BM8CMR5YXQQ	49
A10BSS8EZFU0RZ	50
A10BTP0CXOVTZ	51
A10BVVO52FD692	52
A10C4O0Q0TWXOL	53
A10C5CJK1YKGV0	54
A10CGJVD30HSNB	55
A10CGTF3GZ2V65	56
A10CHQHOWTD3AC	57
A10DB0H2NZF11E	58
A10DB8F2M9TTOJ	59
A10DBNGVY8XMGL	60
A10DIU51EE9WGN	61
A10DT30215CH5Y	62
A10E3F50DIUJEE	63
A10E3V94MQ9IVU	64
A10F0D8JQU9WBB	65
A10F425B01ODK5	66
A10F5HQ60ATTZN	67
A10FQS70BOS08C	68
A10GEMYI2G9WZ	69
A10HKS3LFIO8V4	70
A10I05QBEOVVI9	71
A10I54XL73TRLK	72
A10JJ1J4JXVZJL	73
A10JM0T806MNL0	74
A10JPZAYDGFHEV	75
A10JVP8ROXXQ7B	76
A10K8EEF82OBAM	77
A10KHX41ONY4U1	78
A10KPE9K6AFKL2	79
A10L132FI5QHV6	80
A10L198Q8ZKC0H	81
A10L9NQO44OLOU	82
A10LDZZNWWD2GY	83
A10M3UVU0W6M6C	84
A10M94ASQEBL56	85
A10MG6WLSMALA1	86
A10MZ1W1M8LIBJ	87
A10NIZTEOWKX5N	88
A10NMELR4KX0J6	89
A10O18BTQL8QBE	90
A10OI1L06LJ0KY	91
A10OSI9F8DGUT8	92
A10OVKTHHVPWTS	93
A10P33LX6TP75K	94
A10PEXB6XAQ5XF	95
A10PYVI1B7VMC	96
A10Q8CLJW20DZT	97
A10QB8RAEYKYL0	98
A10QFJFUFGYRF8	99
A10QQ9DRBG32S3	100
A10QTN8ERLQGPH	101
A10R72UOSE0P86	102
A10R8DNMRWJURI	103
A10RE6ZUIB2P1P	104
A10S8C19IP6XTF	105
A10STX704CY2IH	106
A10T8O7OOO14N4	107
A10TB10B5FED71	108
A10TF6TUAV0XZP	109
A10TKOAH9K8594	110
A10TUWIUT599Q4	111
