asin	item_id
0439893577	1
048645195X	2
0545496470	3
0615444172	4
0670010936	5
0735308365	6
0735321396	7
073533305X	8
0735333483	9
073533417X	10
074242720X	11
0786950072	12
0786955570	13
0786955708	14
0786958731	15
0786959916	16
0786962984	17
0786964502	18
0867343125	19
0911121013	20
0913866687	21
0963679600	22
096625757X	23
0974665207	24
0975277324	25
0975277383	26
0975855603	27
0976142503	28
0976990709	29
0976990768	30
0979658500	31
0979658527	32
0979712386	33
0979959330	34
0980223644	35
0981924840	36
0984155848	37
0984155856	38
0984155872	39
0984608028	40
0992251656	41
1223062341	42
1223063097	43
1223063119	44
1223063151	45
1223069192	46
1556344732	47
1556345542	48
1556346638	49
1556347677	50
155634774X	51
1556347782	52
1564518531	53
1570545340	54
1579822460	55
1579822630	56
157982269X	57
1579823084	58
1581170769	59
1581171862	60
1581174837	61
1581178816	62
1589473221	63
158978068X	64
1589780817	65
1589781066	66
1589781244	67
1589781317	68
158994030X	69
158994206X	70
1589942108	71
158994223X	72
1589942841	73
1589942981	74
1589944208	75
1589944348	76
1589944607	77
1589944623	78
1589944968	79
1589945158	80
1589946464	81
1589946634	82
158994691X	83
1589947061	84
1589947207	85
1589949811	86
1591747775	87
1592923356	88
1593953534	89
1594721270	90
1601252455	91
1601253729	92
1601255624	93
1603800689	94
1603800859	95
1603801286	96
1604189681	97
1604189738	98
1616610158	99
1616611359	100
1616611626	101
1616611715	102
1616611898	103
1616613769	104
1616613777	105
1616613785	106
1616613793	107
1616613807	108
1616613815	109
161661398X	110
1616614471	111
1616614609	112
1616615044	113
1616615354	114
1616615362	115
1616615370	116
1616615389	117
161661658X	118
161661675X	119
1616616768	120
1616616776	121
1616617047	122
1616617667	123
1617680893	124
1886978018	125
1886978034	126
1892069725	127
192978001X	128
1929780109	129
1929780664	130
1929780699	131
1929780753	132
1929780907	133
1932188126	134
1932359842	135
1932855785	136
1933054395	137
1933054913	138
1933318430	139
1933318465	140
1933318732	141
1933318872	142
1933318996	143
1935305239	144
1936112159	145
1936112191	146
1936112264	147
193611237X	148
1936300036	149
1938146905	150
1938146999	151
2914849648	152
2914849656	153
291484977X	154
2914849850	155
2914849869	156
7293000014	157
8499000606	158
8499002323	159
8499009522	160
8677805966	161
9269806723	162
9269807096	163
9269807312	164
9269808955	165
9269809579	166
B00000DMBB	167
B00000DMBD	168
B00000DMBF	169
B00000DMBJ	170
B00000DMBK	171
B00000DMC6	172
B00000DMCE	173
B00000DMD2	174
B00000DMDN	175
B00000DMER	176
B00000DMF5	177
B00000DMF6	178
B00000DMFD	179
B00000DMFM	180
B00000DMFN	181
B00000DMFS	182
B00000DMFU	183
B00000GBQJ	184
B00000IRMM	185
B00000IRTH	186
B00000IRTI	187
B00000IRTS	188
B00000IRW0	189
B00000IRWA	190
B00000IRY1	191
B00000IRYI	192
B00000IRYM	193
B00000IRYQ	194
B00000IRZ4	195
B00000IRZ6	196
B00000IRZE	197
B00000IS0P	198
B00000IS1N	199
B00000ISC5	200
B00000ISEE	201
B00000ISEH	202
B00000ISEW	203
B00000ISFO	204
B00000ISK4	205
B00000ISKK	206
B00000ISR7	207
B00000ISUK	208
B00000ISVE	209
B00000IT40	210
B00000ITFQ	211
B00000ITIV	212
B00000ITOQ	213
